met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
70.459998,-,0,0,0,,,,106379.824936,1923.969757,1624.289648,360.082725,0.265176,5.326991,,84621.327102,0.000266,0,104.746116,0.000001,0,,1,0,0,0,75.253887,0.000001,-0.040419,-1,1,-1,0,0,-2.315851,-8.006135,5.458558,0,14964.756836,150.5289,14964.865234,0,113.615845,-6177.404305,46.389837,354.694841,1,,0,,,,,,EntryBurn,0,0,2484.96748,-360.082724,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.594064,,,,,,,,,,,,,,,,,,,,,,,
70.719998,-,0,0,0,,,,106473.221812,1923.508588,1623.742152,357.755666,0.260823,5.31862,,84621.327102,0.0002,0,103.462632,0.000001,0,,1,0,0,0,76.537364,0.000001,-0.049926,-1,1,-1,0,0,-2.86055,-7.835331,5.693562,0,14963.785156,150.624603,14963.880859,0,113.615806,-6177.40436,46.389832,354.694835,1,,0,,,,,,EntryBurn,0,0,2478.78579,-357.755665,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593995,,,,,,,,,,,,,,,,,,,,,,,
70.979998,-,0,0,0,,,,106566.016621,1923.050238,1623.197935,355.42866,0.25657,5.310248,,84621.327102,0.000198,0,102.315384,0.000001,0,,1,0,0,0,77.684622,0.000001,-0.035687,-1,1,-1,0,0,-2.044712,-7.870261,5.125901,0,14966.910156,150.605484,14966.886719,0,113.615764,-6177.404431,46.389826,354.694827,1,,0,,,,,,EntryBurn,0,0,2472.567066,-355.428658,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593924,,,,,,,,,,,,,,,,,,,,,,,
71.239998,-,0,0,0,,,,106658.205857,1922.594515,1622.656821,353.101998,0.252416,5.301877,,84621.327102,0.00026,0,101.100038,0.000001,0,,1,0,0,0,78.899973,0.000001,-0.037914,-1,1,-1,0,0,-2.172324,-8.405283,5.047742,0,14965.798828,150.573196,14965.94043,0,113.615733,-6177.40457,46.389818,354.694816,1,,0,,,,,,EntryBurn,0,0,2466.310717,-353.101998,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593853,,,,,,,,,,,,,,,,,,,,,,,
71.499998,-,0,0,0,,,,106749.768897,1922.141917,1622.119319,350.775518,0.248358,5.293507,,84621.327102,0.000207,0,99.675114,0.000001,0,,1,0,0,0,80.324885,0.000001,-0.031585,-1,1,-1,0,0,-1.809701,-7.020439,4.992502,0,14967.426758,150.506104,14967.455078,0,113.615702,-6177.404664,46.389812,354.694809,1,,0,,,,,,EntryBurn,0,0,2460.016718,-350.775519,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593782,,,,,,,,,,,,,,,,,,,,,,,
71.759998,-,0,0,0,,,,106840.74683,1921.692233,1621.585201,348.449126,0.244393,5.28514,,84621.327102,0.000148,0,98.411577,0.000001,0,,1,0,0,0,81.588421,0.000001,-0.029088,-1,1,-1,0,0,-1.666607,-9.657844,4.80638,0,14964.982422,150.523041,14964.957031,0,113.615675,-6177.404756,46.389805,354.6948,1,,0,,,,,,EntryBurn,0,0,2453.683896,-348.449126,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593709,,,,,,,,,,,,,,,,,,,,,,,
72.019998,-,0,0,0,,,,106931.106252,1921.245495,1621.054518,346.122824,0.24052,5.276776,,84621.327102,0.000129,0,96.999359,0,0,,1,0,0,0,83.00064,0,-0.024978,-1,1,-1,0,0,-1.431107,-9.045384,4.899569,0,14965.271484,150.520767,14965.305664,0,113.615648,-6177.404838,46.3898,354.694794,1,,0,,,,,,EntryBurn,0,0,2447.311563,-346.122823,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593636,,,,,,,,,,,,,,,,,,,,,,,
72.279998,-,0,0,0,,,,107020.860886,1920.801791,1620.52736,343.796452,0.236736,5.268417,,84621.327102,0.00011,0,95.722915,0,0,,1,0,0,0,84.277095,0,-0.017634,-1,1,-1,0,0,-1.010364,-9.453409,5.073691,0,14965.291992,150.625,14965.219727,0,113.615611,-6177.404886,46.389799,354.694791,1,,0,,,,,,EntryBurn,0,0,2440.899723,-343.796452,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593563,,,,,,,,,,,,,,,,,,,,,,,
72.539998,-,0,0,0,,,,107110.007927,1920.360992,1620.003583,341.470069,0.233039,5.260064,,84621.319473,0.000093,0,94.263812,0,0,,1,0,0,0,85.736194,0,-0.04246,-1,1,-1,0,0,-2.432794,-7.553931,5.650507,0,14966.633789,150.526047,14966.753906,0,113.615577,-6177.404931,46.389797,354.694789,1,,0,,,,,,EntryBurn,0,0,2434.446537,-341.470069,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593489,,,,,,,,,,,,,,,,,,,,,,,
72.799998,-,0,0,0,,,,107198.550392,1919.923284,1619.483392,339.14382,0.229426,5.251718,,84621.319473,0.000055,0,93.013042,0,0,,1,0,0,0,86.98696,0,-0.026645,-1,1,-1,0,0,-1.526669,-9.690551,5.338016,0,14966.458984,150.445236,14966.459961,0,113.615538,-6177.404938,46.389798,354.694791,1,,0,,,,,,EntryBurn,0,0,2427.95355,-339.14382,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.593416,,,,,,,,,,,,,,,,,,,,,,,
