met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans
83976.090242,PHASING,8,0,1,None,Holding,0,366011.616005,7694.481167,7390.779389,-2.206926,0,0,8635699.802358,9609.187104,0.014514,0,1.025064,0.00006,0,,1,0,0,-1,0.022655,0.00006,-0.002279,-0.315185,-1,-0.855902,2.418021,1.978029,-0.130573,-0.633703,-0.386135,1.794566,40.83926,17.403929,41.187531,27844.538718,375.381357,365.612597,51.644581,359.99457,,,,,,,,,,,,,,Phasing,0,-128049.223127,0,128049.223127,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,351.082428,351.082428,0,0,,,,,,,,,8368.985413,0.941838,0.668094,,,1,0,0,0.684421,0.684423,0.589547,13.48202,10.237668,10.690348,1,0,-1,0,0,-1,1,1
83976.350242,PHASING,8,0,1,None,Holding,0,366011.044079,7694.516345,7390.816169,-2.195074,0,0,8637510.113224,9607.718445,0.014017,0,0.969621,0.002143,0,,1,0,0,-1,0.042744,0.002143,0.003366,0.166061,0.627164,-1,2.399969,1.850131,0.192863,-0.882723,0.242195,1.836173,40.835613,17.401829,41.183769,28012.09411,375.494099,365.621013,51.644535,359.994731,,,,,,,,,,,,,,Phasing,0,-128028.292593,0,128028.292593,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,350.784698,350.784698,0,0,,,,,,,,,8369.658142,0.941561,0.668089,,,1,0,0,0.683315,0.683316,0.589543,13.482135,10.237789,10.69035,-1,0,-1,0,0,-1,1,1
83976.610242,PHASING,8,0,1,None,Holding,0,366010.469662,7694.565497,7390.867483,-2.209316,0,0,8639320.439995,9606.385209,0.017008,0,1.026612,0.000025,0,,1,0,0,-1,0.025679,0.000025,-0.000394,-0.045748,-0.436256,-1,2.978773,2.019533,-0.022551,-1.215348,-0.156886,2.16443,40.832279,17.39991,41.180328,26008.084297,375.663012,365.622294,51.64457,359.994608,,,,,,,,,,,,,,Phasing,0,-128007.353455,0,128007.353455,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,350.134583,350.134583,0,0,,,,,,,,,8370.269409,0.941308,0.668085,,,1,0,0,0.682311,0.682312,0.589539,13.482234,10.237895,10.69035,1,-1,-1,0,0,-1,1,1
83976.870242,PHASING,8,0,1,None,Holding,0,366009.898778,7694.632248,7390.935984,-2.205075,0,0,8641130.785878,9605.134942,0.022178,0,1.020222,0.001826,0,,1,0,0,-1,0.039109,0.001826,0.001464,-0.048863,-0.161274,0.040595,2.409787,1.726175,0.08389,0.029533,-0.127816,1.766788,40.82909,17.398037,41.177036,12256.713867,375.885345,365.631933,51.644546,359.994693,,,,,,,,,,,,,,Phasing,0,-127986.401403,0,127986.401403,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,349.534332,349.534332,0,0,,,,,,,,,8370.842957,0.941072,0.668081,,,1,0,0,0.681368,0.68137,0.589534,13.482334,10.238,10.69035,-1,0,0,0,0,-1,1,1
83977.130242,PHASING,8,0,1,None,Holding,0,366009.326684,7694.671262,7390.976607,-2.192556,0,0,8642941.152034,9603.678681,0.020071,0,1.096819,-0.001044,0,,1,0,0,-1,0.082548,-0.001044,0.001505,0.310656,0.33287,0.915895,2.672969,2.031575,0.086211,0.739593,-0.037743,1.956644,40.825577,17.396059,41.173412,29466.407299,376.011543,365.640374,51.644501,359.994852,,,,,,,,,,,,,,Phasing,0,-127965.43545,0,127965.43545,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,349.231293,349.231293,0,0,,,,,,,,,8371.509033,0.940798,0.668076,,,1,0,0,0.680271,0.680273,0.58953,13.482444,10.238115,10.690349,1,0,1,0,0,-1,1,1
83977.390242,PHASING,8,0,1,None,Holding,0,366008.754538,7694.71559,7391.023141,-2.203133,0,0,8644751.533781,9602.260567,0.015573,0,1.006154,0.001232,0,,1,0,0,-1,0.013117,0.001232,0.000648,-0.087312,-0.437374,0.725398,2.180806,2.218811,0.037105,0.461183,-0.207759,1.540449,40.822018,17.393997,41.169739,23610.056221,376.163383,365.64182,51.644541,359.99471,,,,,,,,,,,,,,Phasing,0,-127944.461715,0,127944.461715,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,348.510498,348.510498,0,0,,,,,,,,,8372.161255,0.940529,0.668071,,,1,0,0,0.679203,0.679204,0.589526,13.482553,10.238234,10.690351,0,0,1,0,0,-1,1,1
83977.650242,PHASING,8,0,1,None,Holding,0,366008.183512,7694.754002,7391.063369,-2.185698,0,0,8646561.931291,9600.805737,0.016195,0,1.032801,-0.000847,0,,1,0,0,-1,0.047326,-0.000847,-0.002228,-0.177394,-0.792736,0.344462,2.536197,1.814359,-0.12766,0.279555,-0.250307,1.966326,40.81842,17.39193,41.166027,26009.112,376.286367,365.651373,51.644525,359.994766,,,,,,,,,,,,,,Phasing,0,-127923.477822,0,127923.477822,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,348.190552,348.190552,0,0,,,,,,,,,8372.827515,0.940254,0.668067,,,1,0,0,0.678107,0.678108,0.589522,13.482664,10.23835,10.690349,0,-1,0,0,0,-1,1,1
83977.910242,PHASING,8,0,1,None,Holding,0,366007.615261,7694.795923,7391.107307,-2.197981,0,0,8648372.344905,9599.387147,0.015497,0,1.065544,-0.001933,0,,1,0,0,-1,0.068163,-0.001933,0.001183,0.369716,-0.386398,0.378364,2.744976,2.311539,0.067757,0.318601,-0.19473,2.039849,40.814896,17.389902,41.162388,26002.630591,376.430802,365.6518,51.644538,359.99472,,,,,,,,,,,,,,Phasing,0,-127902.483995,0,127902.483995,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,347.51828,347.51828,0,0,,,,,,,,,8373.479614,0.939986,0.668062,,,1,0,0,0.677038,0.67704,0.589517,13.482773,10.238468,10.69035,0,0,0,0,0,-1,1,1
83978.170242,PHASING,8,0,1,None,Holding,0,366007.046721,7694.861028,7391.173987,-2.182647,0,0,8650182.779236,9598.170258,0.021956,0,1.016236,0.000916,0,,1,0,0,-1,0.022057,0.000916,-0.005442,-0.7089,0.578069,0.029315,2.92125,2.198079,-0.311822,0.026083,0.158944,2.159261,40.811878,17.388176,41.159275,28302.141577,376.645566,365.663273,51.644488,359.994896,,,,,,,,,,,,,,Phasing,0,-127881.477395,0,127881.477395,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,346.895294,346.895294,0,0,,,,,,,,,8374.037231,0.939754,0.668058,,,1,0,0,0.676121,0.676123,0.589513,13.482862,10.238564,10.690349,-1,1,0,0,0,-1,1,1
83978.430242,PHASING,8,0,1,None,Holding,0,366006.47658,7694.903825,7391.218811,-2.194722,0,0,8651993.231605,9596.776463,0.017496,0,1.044581,-0.000219,0,,1,0,0,-1,0.026095,-0.000219,0.006647,0.845803,0.505676,-0.097778,2.643664,2.266769,0.380852,-0.080727,0.120922,1.997355,40.808392,17.386168,41.155678,26008.943975,376.793123,365.663659,51.644502,359.994848,,,,,,,,,,,,,,Phasing,0,-127860.459201,0,127860.459201,1,,,,,,,,,,,,,,,,None,Continue,0,None,,,,,,1,346.600372,346.600372,0,0,,,,,,,,,8374.677429,0.93949,0.668053,,,1,0,0,0.675072,0.675073,0.589509,13.482968,10.238678,10.690348,1,0,0,0,0,-1,1,1
