met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll,app_pitch,app_yaw,app_roll,app_tx,app_ty,app_tz,rcs_pulse_att,rcs_pulse_trans,acc_int_s,acc_att_s,acc_trans_s,acc_both_s,acc_none_s,acc_att_imp,acc_trans_imp,acc_both_imp,acc_req_att,acc_app_att,acc_req_trans,acc_app_trans
85121.988238,PHASING,8,0,1,None,Holding,0,365871.894989,7688.721264,7393.723801,-9.009373,0,0,18179.601402,8700.73507,0.000194,0,75.147006,0,0,,1,0,0,0,107.022002,0,0.001717,0,0,0,0,0,0.098359,1.93631,-0.346754,0,38.503624,16.104626,38.779846,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,CoElliptic,-3345.497366,-9327.711295,22235.708755,24343.896451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551298,13.558688,10.319134,10.690345,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85122.228238,PHASING,8,0,1,None,Holding,0,365869.551679,7688.72394,7393.726129,-9.011324,0,0,19992.186491,8700.73507,0.000194,0,75.119842,0,0,,1,0,0,0,107.385138,0,0.001745,0,0,0,0,0,0.099978,1.936314,-0.346247,0,38.503635,16.104626,38.779858,0,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,CoElliptic,11239.216306,-34847.574201,17980.597954,40791.853521,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0.551292,13.558694,10.319138,10.690351,0,0,0,0,0,0,1,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0
85122.428238,PHASING,8,0,1,None,Holding,0,365831.607497,7688.767283,7393.763618,-9.042774,0,0,49389.391356,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,401.350586,0,0,0,0,0.549894,,,,,,,,,,,,0.14,0,0,0,0.14,0,0,0,0,0,0,0
85126.451744,PHASING,8,0,1,None,Holding,0,365758.773543,7688.85047,7393.834374,-9.102246,0,0,105516.881908,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,601.525879,0,0,0,0,0.547254,,,,,,,,,,,,,,,,,,,,,,,
85126.451744,PHASING,8,0,1,None,Holding,0,365648.72003,7688.97616,7393.938369,-9.189945,0,0,189640.348163,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,801.701172,0,0,0,0,0.543645,,,,,,,,,,,,,,,,,,,,,,,
85146.509273,PHASING,8,0,1,None,Holding,0,365500.419343,7689.14553,7394.073142,-9.304119,0,0,301762.333613,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1001.876465,0,0,0,0,0.53924,,,,,,,,,,,,,,,,,,,,,,,
85146.509273,PHASING,8,0,1,None,Holding,0,365312.564329,7689.360087,7394.23541,-9.442368,0,0,441886.167238,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1200.831177,0,0,0,0,0.533827,,,,,,,,,,,,,,,,,,,,,,,
85182.580826,PHASING,8,0,1,None,Holding,0,365083.858864,7689.621345,7394.420908,-9.601458,0,0,609845.189556,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1401.00647,0,0,0,0,0.527477,,,,,,,,,,,,,,,,,,,,,,,
85182.580826,PHASING,8,0,1,None,Holding,0,364812.367137,7689.931548,7394.625006,-9.777915,0,0,805814.796173,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1601.181763,0,0,0,0,0.520941,,,,,,,,,,,,,,,,,,,,,,,
85234.617579,PHASING,8,0,1,None,Holding,0,364496.244545,7690.292798,7394.842211,-9.967463,0,0,1029800.354801,8700.73507,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,369.884554,350.371754,51.624769,0.008126,,,,,,,,,,,,,,Phasing,0,-663870.764451,0,663870.764451,0,,,,,,,,,,,,,,,,ResourceCritical,SafeMode,1,None,,,,,,1,0,0,0,0,,,,,,,,,,,,,,1801.357056,0,0,0,0,0.512003,,,,,,,,,,,,,,,,,,,,,,,
