met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll
0,-,0,0,0,,,,58637.860773,2163.927684,1900.570462,1005.262835,0,0,,85318.757951,0,0,2.139865,-0.076196,0,,1,0,0,0,177.860132,-0.076196,-0.002542,0.021338,1,-0.000038,420290.406254,470983.062504,-0.145629,-0.062585,-0.079312,34826.957038,15257.987305,152.1017,15258.02832,77702.720165,114.801246,-6174.830874,46.431215,354.747096,1,,0,,,,,,EntryBurn,0,0,3522.191346,-1005.262835,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.530038,,,
0.26,-,0,0,0,,,,58898.787503,2161.897911,1898.373729,1002.461211,663.430964,5.987481,,85313.250124,0.779127,0,2.262028,-0.090499,0,,1,0,0,0,177.73799,-0.090499,-0.008952,0.023602,1,0.000076,420599.19937,471085.349824,-0.5129,0.125675,-0.57846,35000.894053,15254.585938,152.11972,15254.571289,209793.446064,114.748557,-6174.988115,46.428944,354.744269,1,,0,,,,,,EntryBurn,0,0,3519.1251,-1002.461211,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.531057,,,
0.52,-,0,0,0,,,,59159.066485,2160.74664,1897.063806,1000.108543,641.847888,5.992729,,85307.686627,0.147995,0,2.185876,-0.097848,0,,1,0,0,0,177.814105,-0.097848,-0.002078,0.027712,1,-0.000033,420669.576076,471166.864779,-0.119078,-0.053884,-0.155627,35007.713603,15253.898438,152.038132,15253.905273,209899.113178,114.749187,-6174.98636,46.429185,354.744569,1,,0,,,,,,EntryBurn,0,0,3516.467888,-1000.108543,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.533151,,,
0.78,-,0,0,0,,,,59418.72932,2159.593859,1895.756846,997.756361,621.076365,5.998593,,85302.123606,0.013635,0,2.218814,-0.109122,0,,1,0,0,0,177.781175,-0.109122,0.000622,0.031745,1,0.000071,420701.6131,471215.347314,0.03562,0.117276,0.360204,35015.41745,15249.633789,152.026367,15249.655273,209878.695011,114.749829,-6174.985522,46.43012,354.745733,1,,0,,,,,,EntryBurn,0,0,3513.806272,-997.756361,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.535035,,,
1.02,-,0,0,0,,,,59677.783825,2158.442851,1894.451782,995.404132,600.962309,6.004505,,85296.560228,0.016783,0,2.373501,-0.124634,0,,1,0,0,0,177.626492,-0.124634,-0.005945,0.034325,1,0.000144,420682.665324,471253.88124,-0.34061,0.237865,-1.088586,34984.86739,15246.052734,152.030853,15245.980469,209712.622166,114.750446,-6174.98476,46.431058,354.746986,1,,0,,,,,,EntryBurn,0,0,3511.14049,-995.404132,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.536843,,,
1.3,-,0,0,0,,,,59936.224781,2157.294133,1893.149126,993.05214,581.476322,6.010454,,85290.997326,0.016821,0,2.25284,-0.129472,0,,1,0,0,0,177.74715,-0.129472,-0.006612,0.035516,1,-0.000142,420787.292108,471318.775165,-0.378833,-0.235223,-1.076707,35044.756986,15242.902344,152.099548,15242.938477,209942.464828,114.751068,-6174.983983,46.432,354.748075,1,,0,,,,,,EntryBurn,0,0,3508.469972,-993.05214,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.538228,,,
1.56,-,0,0,0,,,,60194.05603,2156.138713,1891.839762,990.695177,562.589778,6.016414,,85285.434186,0.016437,0,2.591277,-0.147315,0,,1,0,0,0,177.408718,-0.147315,-0.009007,0.039969,1,0.000099,420874.19617,471285.615466,-0.516042,0.16349,-1.623576,35077.588155,15241.521484,151.999176,15241.475586,209866.175652,114.751091,-6174.984759,46.432921,354.749224,1,,0,,,,,,EntryBurn,0,0,3505.789745,-990.695177,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.538574,,,
1.8,-,0,0,0,,,,60451.264895,2155.022833,1890.557142,988.360228,544.283848,6.022332,,85279.87057,0.011299,0,2.703022,-0.156134,0,,1,0,0,0,177.296969,-0.156134,-0.008899,0.042544,1,-0.000232,420851.155758,471308.842919,-0.509896,-0.384802,-0.860129,35055.835714,15238.916016,151.967392,15238.926758,209829.688072,114.753636,-6174.979055,46.431702,354.747787,1,,0,,,,,,EntryBurn,0,0,3503.126132,-988.360229,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.539252,,,
2.06,-,0,0,0,,,,60707.883059,2153.459801,1888.830423,985.801833,526.56217,6.028315,,85274.30743,0.101638,0,2.740476,-0.165638,0,,1,0,0,0,177.259545,-0.165638,-0.005253,0.046331,1,-0.000259,420852.53033,471351.636833,-0.30095,-0.429,-1.051175,35054.08576,15234.775391,151.9646,15234.78125,209757.461548,114.730069,-6175.055638,46.430337,354.746087,1,,0,,,,,,EntryBurn,0,0,3500.245507,-985.801834,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.540004,,,
2.34,-,0,0,0,,,,60963.65525,2149.469983,1884.679893,982.073398,508.286926,6.027617,,85268.745005,0.840072,0,3.099599,-0.176878,0,,1,0,0,0,176.900408,-0.176878,0.00099,0.051379,1,0.000005,420834.725301,471431.07274,0.056749,0.007949,-2.48911,35023.164024,15233.337891,151.990509,15233.373047,209725.584984,114.56995,-6175.58085,46.425468,354.739932,0.25,,0,,,,,,EntryBurn,0,0,3496.244661,-982.073398,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.539229,,,
