met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll
33.019999,-,0,0,0,,,,86484.188322,2020.934622,1737.481667,696.392048,9.682137,6.244213,,84281.88771,0.001924,0,143.974915,8.553315,0,,1,0,0,0,36.025079,8.553315,-0.078351,-1,1,0.027255,423494.089162,474260.356514,-4.489161,45.641678,-23.469202,34998.619937,14919.402344,150.057739,14919.356445,0,113.529089,-6177.116516,46.330503,354.622515,1,,0,,,,,,EntryBurn,0,0,3105.843732,-696.392048,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584543,,,
33.279999,-,0,0,0,,,,86662.547329,2020.076517,1736.484163,694.049681,9.379017,6.242522,,84281.88771,0.001423,0,147.558991,8.566661,0,,1,0,0,0,32.441017,8.566661,-0.051621,-1,1,0.027544,423528.307974,474214.905716,-2.957641,46.177177,-22.892525,35025.607326,14921.793945,150.005127,14921.810547,0,113.528899,-6177.117028,46.330509,354.622524,1,,0,,,,,,EntryBurn,0,0,3102.56175,-694.049681,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584532,,,
33.519999,-,0,0,0,,,,86840.22984,2019.221176,1735.48974,691.707835,9.086086,6.240764,,84281.88771,0.001153,0,150.939335,8.574937,0,,1,0,0,0,29.060655,8.574937,-0.011703,-1,1,0.027442,423632.858053,474290.612053,-0.67052,46.098877,-23.27434,35085.113689,14919.083984,149.960083,14919.152344,0,113.528743,-6177.117526,46.330521,354.622622,1,,0,,,,,,EntryBurn,0,0,3099.269263,-691.707834,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.58452,,,
33.799999,-,0,0,0,,,,87017.313853,2018.368172,1734.497898,689.366166,8.802998,6.238936,,84281.88771,0.001183,0,154.060627,8.572327,0,,1,0,0,0,25.939388,8.572327,0.01931,-1,1,0.027467,423551.605696,474307.467554,1.106374,46.048729,-23.794083,35027.15777,14920.225586,150.007385,14920.24707,0,113.528589,-6177.11808,46.330528,354.622548,1,,0,,,,,,EntryBurn,0,0,3095.965734,-689.366165,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584507,,,
34.059999,-,0,0,0,,,,87193.852988,2017.517839,1733.508997,687.024788,8.529456,6.23704,,84281.88771,0.001145,0,156.784287,8.551756,0,,1,0,0,0,23.215731,8.551756,0.061171,-1,1,0.02762,423565.426698,474255.960667,3.504855,46.371918,-23.587217,35066.314912,14921.186523,149.958755,14921.188477,0,113.52845,-6177.118625,46.330535,354.622556,1,,0,,,,,,EntryBurn,0,0,3092.651638,-687.024788,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584493,,,
34.319999,-,0,0,0,,,,87369.918697,2016.670135,1732.523003,684.683736,8.265148,6.235075,,84281.88771,0.00112,0,158.868422,8.509033,0,,1,0,0,0,21.131566,8.509033,0.096496,-1,1,0.027828,423572.700527,474256.675556,5.528804,46.714394,-23.380028,35060.562273,14920.995117,149.958389,14921.013672,0,113.528328,-6177.119173,46.330542,354.622565,1,,0,,,,,,EntryBurn,0,0,3089.32697,-684.683736,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584471,,,
34.579999,-,0,0,0,,,,87545.560942,2015.825792,1731.540505,682.343194,8.009771,6.233043,,84281.88771,0.000904,0,160.030138,8.435942,0,,1,0,0,0,19.969884,8.435942,0.128979,-1,1,0.027524,423493.521033,474297.941228,7.389974,46.121029,-21.899988,35021.269361,14920.201172,150.058868,14920.282227,0,113.528236,-6177.119575,46.330529,354.622549,1,,0,,,,,,EntryBurn,0,0,3085.991516,-682.343194,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584452,,,
34.839999,-,0,0,0,,,,87720.828553,2014.984209,1730.561052,680.002991,7.763025,6.230945,,84281.88771,0.000783,0,160.103749,8.32531,0,,1,0,0,0,19.896237,8.32531,0.168809,-1,1,0.027338,423591.948982,474324.471831,9.672049,45.887615,-21.55953,35057.205917,14920.28125,149.958786,14920.264648,0,113.528158,-6177.119953,46.330516,354.622533,1,,0,,,,,,EntryBurn,0,0,3082.644967,-680.00299,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584435,,,
35.099999,-,0,0,0,,,,87895.787962,2014.14496,1729.584207,677.662886,7.524608,6.22878,,84281.88771,0.000817,0,159.18743,8.185991,0,,1,0,0,0,20.812574,8.185991,0.198415,-1,1,0.027432,423537.584733,474311.894676,11.368342,46.020382,-20.466681,35035.903515,14916.262695,149.949753,14916.256836,0,113.528081,-6177.120384,46.330504,354.622517,1,,0,,,,,,EntryBurn,0,0,3079.287256,-677.662886,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584418,,,
35.359999,-,0,0,0,,,,88070.468423,2013.308372,1728.610303,675.323117,7.294224,6.226547,,84281.88771,0.000826,0,157.235981,8.010069,0,,1,0,0,0,22.764009,8.010069,0.22246,-1,1,0.027409,423664.825194,474369.441712,12.745992,46.03743,-19.925903,35135.047221,14918.085938,150.193146,14918.224609,0,113.528019,-6177.120814,46.330491,354.622501,1,,0,,,,,,EntryBurn,0,0,3075.918755,-675.323116,,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0.584397,,,
