met_s,mission_phase,mode_index,mode_holding,mode_flying,gate_id,gate_phase,crew_action,alt_m,speed_mps,srf_speed_mps,vspeed_mps,q_pa,mach,downrange_m,mass_kg,accel_g,thrust_n,att_err_deg,rate_cmd_rads,throttle,torque_cmd,rcs_on,trans_x,trans_y,trans_z,att_point_deg,att_rate_cmd,att_rate_meas,act_pitch,act_yaw,act_roll,ctrl_tq_pitch,ctrl_tq_yaw,rate_pitch_dps,rate_roll_dps,rate_yaw_dps,ctrl_tq_roll,moi_pitch,moi_roll,moi_yaw,rcs_thrust_n,ap_km,pe_km,inc_deg,raan_deg,ullage_stab,clamp_frac,clamp_held,upfg_tgo_s,upfg_vgo_mps,pitch_deg,azimuth_deg,ascent_phase,boost_phase,boost_aoa_deg,engine_mode,ignite_alt_m,descent_speed_mps,rv_phase,lvlh_rx,lvlh_ry,lvlh_rz,rv_range_m,rv_burn_dv,dock_phase,dock_range_m,close_speed_mps,dock_hold,dep_phase,deorbit_phase,entry_phase,bank_deg,com_descent_mode,chute_phase,drogue,main,dv_planned_mps,dv_delivered_mps,dv_residual_mps,fdir_fault,fdir_recovery,fdir_abort,abort_mode,cal_thrust_n,cal_beta,cal_invI,cal_ld,steer_sign,ker_avail,ker_remain_dv,ker_final_dv,ker_cur_twr,ker_cur_thrust_n,steer_loss_mps,grav_loss_mps,drag_loss_mps,cal_kaero,cal_kaero_p,qalpha_cap_deg,aero_ang_accel,aoa_signed_deg,rcsbal_torque_naive,rcsbal_torque_resid,rcsbal_force_frac,cc_dsigma_deg,cc_slope_m_per_rad,warp_rate,eng_ignited,eng_flameout,mmh_frac,nto_frac,skin_temp_frac,rcs_geo_pitch,rcs_geo_yaw,rcs_geo_roll
31.099999,-,0,0,0,None,Holding,0,313090.457744,7722.970601,7235.558266,1.509494,0,0,0,7728.340365,0.0002,0,149.496076,-0.141221,0,,1,0,0,0,30.503365,-0.141221,0.054149,0.001788,-0.012922,0.000007,12865.178711,9493.052734,3.102499,0.048903,4.562642,10690.351563,14.757127,11.61449,15.230085,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,TrunkJettison,Idle,0,0,Idle,0,0,77.907278,0,77.907278,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589738,12865.178711,9493.052734,10690.351563
31.359999,-,0,0,0,None,Holding,0,313090.843406,7722.970147,7235.557784,1.509888,0,0,1793.122639,7728.340365,0.0002,0,150.551807,-0.186895,0,,1,0,0,0,29.447684,-0.186895,0.054162,0.002207,-0.014172,0.000007,12865.179171,9493.053568,3.103235,0.048443,4.562247,10690.350948,14.757127,11.61449,15.230085,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.90739,0,77.90739,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589746,12865.181641,9493.055664,10690.351563
31.619999,-,0,0,0,None,Holding,0,313091.229151,7722.969694,7235.557302,1.510283,0,0,3586.245236,7728.340365,0.0002,0,151.575531,-0.236248,0,,1,0,0,0,28.42395,-0.236248,0.054174,0.002658,-0.015354,0.000007,12865.178768,9493.053131,3.103959,0.047977,4.56182,10690.350204,14.757128,11.61449,15.230086,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.907502,0,77.907502,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589753,12865.177734,9493.052734,10690.349609
31.879999,-,0,0,0,None,Holding,0,313091.614984,7722.96924,7235.556819,1.510678,0,0,5379.367791,7728.340365,0.0002,0,152.563669,-0.289306,0,,1,0,0,0,27.435855,-0.289306,0.054189,0.003144,-0.016469,0.000007,12865.179665,9493.053597,3.104779,0.047517,4.561297,10690.350451,14.757127,11.61449,15.230085,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.907614,0,77.907614,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589759,12865.179688,9493.052734,10690.350586
32.139999,-,0,0,0,None,Holding,0,313092.000908,7722.968786,7235.556337,1.511072,0,0,7172.490307,7728.340365,0.0002,0,153.512269,-0.346092,0,,1,0,0,0,26.487297,-0.346092,0.054202,0.003664,-0.017516,0.000007,12865.179872,9493.054059,3.105543,0.047055,4.56075,10690.350412,14.757128,11.61449,15.230085,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.907727,0,77.907727,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589766,12865.179688,9493.053711,10690.350586
32.399999,-,0,0,0,None,Holding,0,313092.386928,7722.968332,7235.555854,1.511467,0,0,8965.612784,7728.340365,0.0002,0,154.416907,-0.406629,0,,1,0,0,0,25.582684,-0.406629,0.054215,0.004218,-0.018496,0.000007,12865.179868,9493.053584,3.10631,0.046589,4.560145,10690.350394,14.757126,11.61449,15.230084,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.907839,0,77.907839,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589771,12865.177734,9493.051758,10690.348633
32.659999,-,0,0,0,None,Holding,0,313092.773049,7722.967878,7235.555372,1.511861,0,0,10758.735224,7728.340365,0.0002,0,155.272734,-0.470938,0,,1,0,0,0,24.726871,-0.470938,0.054229,0.004807,-0.019408,0.000007,12865.178208,9493.05247,3.107094,0.046125,4.559707,10690.349656,14.757126,11.61449,15.230084,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.907951,0,77.907951,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589776,12865.175781,9493.050781,10690.348633
32.919999,-,0,0,0,None,Holding,0,313093.159275,7722.967424,7235.554889,1.512255,0,0,12551.857629,7728.340365,0.0002,0,156.074503,-0.539039,0,,1,0,0,0,23.925157,-0.539039,0.054243,0.005431,-0.020253,0.000007,12865.180411,9493.054536,3.107894,0.04566,4.559221,10690.351279,14.757128,11.61449,15.230086,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.908064,0,77.908064,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589781,12865.182617,9493.057617,10690.353516
33.179999,-,0,0,0,None,Holding,0,313093.54561,7722.96697,7235.554406,1.512649,0,0,14344.979998,7728.340365,0.0002,0,156.816616,-0.610949,0,,1,0,0,0,23.18309,-0.610949,0.054256,0.006089,-0.02103,0.000007,12865.17941,9493.053779,3.108613,0.045193,4.558775,10690.350365,14.757126,11.61449,15.230084,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.908176,0,77.908176,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589786,12865.178711,9493.052734,10690.349609
33.439999,-,0,0,0,None,Holding,0,313093.93206,7722.966515,7235.553923,1.513043,0,0,16138.102333,7728.340365,0.0002,0,157.493197,-0.686685,0,,1,0,0,0,22.506547,-0.686685,0.054268,0.006782,-0.021739,0.000007,12865.179822,9493.05377,3.109353,0.044724,4.558261,10690.351024,14.757128,11.61449,15.230085,0,315.962184,312.495893,0.005791,358.847125,,,,,,,,,,,,,,,,,,,,,,,,Idle,Settle,Idle,0,0,Idle,0,0,77.908289,0,77.908289,None,Continue,0,DeorbitReturn,,,,,,1,504.038025,504.038025,0,0,,,,,,,,,,,,,,1,0,0,1,1,0.589791,12865.179688,9493.053711,10690.349609
